epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries,avg_queries,cpu_time,gap_FW,gap_AS
0.01,fw_pair,1,True,lipschitz_mnist,0.09,202,101.74,0.01171875,-0.0009555059368722141,2.8647063887721202e-11
0.01,fw_pair,1,True,decay,0.09,202,101.74,0.011328125,-0.0009555059368722141,2.8647063887721202e-11
0.01,fw_pair,1,True,amjo,0.09,202,101.74,0.031171875,-0.0009555059368722141,2.8647063887721202e-11
0.01,fw_pair,1,True,ls,0.24,205,103.24137931034483,0.14401169950738915,-0.006303820293396711,0.005848804023116827
0.01,fw_pair,1,False,lipschitz_mnist,0.09,202,101.74,0.01171875,-2.971256253658794e-05,-1.076696025847923e-05
0.01,fw_pair,1,False,decay,0.09,202,101.74,0.010859375,-2.971256253658794e-05,-1.076696025847923e-05
0.01,fw_pair,1,False,amjo,0.09,202,101.74,0.02375,-2.971256253658794e-05,-1.076696025847923e-05
0.01,fw_pair,1,False,ls,0.09,202,101.74,0.164296875,-2.971256253658794e-05,-1.076696025847923e-05
0.01,fw_pair,2,True,lipschitz_mnist,1.0,202,101.74,0.010390625,0.06272215396165848,-0.05940592288970947
0.01,fw_pair,2,True,decay,1.0,202,101.74,0.012578125,0.06272215396165848,-0.05940592288970947
0.01,fw_pair,2,True,amjo,1.0,202,101.74,0.01734375,0.06272215396165848,-0.05940592288970947
0.01,fw_pair,2,True,ls,1.0,202,101.74,0.1484375,0.06272215396165848,-0.05940592288970947
0.01,fw_pair,2,False,lipschitz_mnist,1.0,202,101.74,0.01109375,0.046164628118276596,-0.04392171651124954
0.01,fw_pair,2,False,decay,1.0,202,101.74,0.011015625,0.046164628118276596,-0.04392171651124954
0.01,fw_pair,2,False,amjo,1.0,202,101.74,0.0175,0.046164628118276596,-0.04392171651124954
0.01,fw_pair,2,False,ls,1.0,202,101.74,0.156796875,0.046164628118276596,-0.04392171651124954
0.05,fw,-1,True,lipschitz_mnist,0.99,2002,1001.74,0.010390625,3.1343183517456055,
0.05,fw,-1,True,decay,0.99,2002,1001.74,0.010546875,2.9084486961364746,
0.05,fw,-1,True,amjo,0.99,2002,1001.74,0.01634375,3.1343183517456055,
0.05,fw,-1,True,ls,0.99,2002,1001.74,0.1471015625,3.1343183517456055,
0.05,fw,-1,False,lipschitz_mnist,0.95,1949,975.2372881355932,0.011138931689779148,2.261744499206543,
0.05,fw,-1,False,decay,0.93,1933,967.2309684101501,0.011247410668047644,2.067565679550171,
0.05,fw,-1,False,amjo,0.95,1933,967.2309684101501,0.0176155489383739,2.261744499206543,
0.05,fw,-1,False,ls,0.95,1949,975.2372881355932,0.1626701335387776,2.261744499206543,
0.05,fw,1,True,lipschitz_mnist,0.09,202,101.74,0.010625,-0.0065091573633253574,
0.05,fw,1,True,decay,0.09,202,101.74,0.00921875,-0.0065091573633253574,
0.05,fw,1,True,amjo,0.09,202,101.74,0.029453125,-0.0065091573633253574,
0.05,fw,1,True,ls,0.23,205,103.24137931034483,0.14516625615763548,-0.006262272596359253,
0.05,fw,1,False,lipschitz_mnist,0.09,202,101.74,0.011953125,-0.0001485628163209185,
0.05,fw,1,False,decay,0.09,202,101.74,0.011015625,-0.0001485628163209185,
0.05,fw,1,False,amjo,0.09,202,101.74,0.0234375,-0.0001485628163209185,
0.05,fw,1,False,ls,0.09,202,101.74,0.161796875,-0.0001485628163209185,
0.05,fw,2,True,lipschitz_mnist,1.0,2002,1001.74,0.0099609375,0.3274899125099182,
0.05,fw,2,True,decay,1.0,2002,1001.74,0.010515625,0.3184482455253601,
0.05,fw,2,True,amjo,1.0,2002,1001.74,0.016109375,0.3274899125099182,
0.05,fw,2,True,ls,1.0,2002,1001.74,0.1467578125,0.3274899125099182,
0.05,fw,2,False,lipschitz_mnist,0.99,1984,992.7421796165489,0.010863395560040363,0.2608458995819092,
0.05,fw,2,False,decay,0.99,1984,992.7421796165489,0.010965880423814328,0.24223461747169495,
0.05,fw,2,False,amjo,0.99,1984,992.7421796165489,0.015648650353178608,0.2608458995819092,
0.05,fw,2,False,ls,0.99,1984,992.7421796165489,0.15727484863773966,0.2608458995819092,
0.05,fw_away,-1,True,lipschitz_mnist,0.99,2002,1001.74,0.01134375,3.1343183517456055,-2.71298885345459
0.05,fw_away,-1,True,decay,0.99,2002,1001.74,0.0129296875,2.9084486961364746,-2.134676456451416
0.05,fw_away,-1,True,amjo,0.99,2002,1001.74,0.0169765625,3.1343183517456055,-2.71298885345459
0.05,fw_away,-1,True,ls,0.99,2002,1001.74,0.14846875,3.1343183517456055,-2.71298885345459
0.05,fw_away,-1,False,lipschitz_mnist,0.95,2002,1001.74,0.011828125,2.261744499206543,-1.8644498586654663
0.05,fw_away,-1,False,decay,0.93,2002,1001.74,0.0134140625,2.067565679550171,-1.486962080001831
0.05,fw_away,-1,False,amjo,0.95,2002,1001.74,0.0182734375,2.261744499206543,-1.8644498586654663
0.05,fw_away,-1,False,ls,0.95,2002,1001.74,0.15996875,2.261744499206543,-1.8644498586654663
0.05,fw_away,1,True,lipschitz_mnist,0.09,2002,1001.74,0.0111953125,-0.0058565326035022736,0.0058565326035022736
0.05,fw_away,1,True,decay,0.09,2002,1001.74,0.012234375,-0.002808770863339305,-0.008461078628897667
0.05,fw_away,1,True,amjo,0.09,2002,1001.74,0.0332578125,-0.005513808690011501,1.427191705261066e-06
0.05,fw_away,1,True,ls,0.28,2002,1001.74,0.1469375,-0.006082629784941673,0.004207547754049301
0.05,fw_away,1,False,lipschitz_mnist,0.09,2002,1001.74,0.011875,-0.00020084173593204468,8.813161788898127e-13
0.05,fw_away,1,False,decay,0.09,2002,1001.74,0.012140625,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_away,1,False,amjo,0.09,2002,1001.74,0.02971875,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_away,1,False,ls,0.09,2002,1001.74,0.1611640625,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_away,2,True,lipschitz_mnist,1.0,2002,1001.74,0.0116484375,0.3274899125099182,-0.3193052113056183
0.05,fw_away,2,True,decay,1.0,2002,1001.74,0.013390625,0.3184482455253601,-0.27698686718940735
0.05,fw_away,2,True,amjo,1.0,2002,1001.74,0.01671875,0.3274899125099182,-0.3193052113056183
0.05,fw_away,2,True,ls,1.0,2002,1001.74,0.14721875,0.3274899125099182,-0.3193052113056183
0.05,fw_away,2,False,lipschitz_mnist,0.99,2002,1001.74,0.0118984375,0.2608458995819092,-0.2284885197877884
0.05,fw_away,2,False,decay,0.99,2002,1001.74,0.013765625,0.24223461747169495,-0.2141910046339035
0.05,fw_away,2,False,amjo,0.99,2002,1001.74,0.0181328125,0.2608458995819092,-0.2284885197877884
0.05,fw_away,2,False,ls,0.99,2002,1001.74,0.160734375,0.2608458995819092,-0.2284885197877884
0.05,fw_pair,-1,True,lipschitz_mnist,0.99,2002,1001.74,0.011078125,3.1343183517456055,-2.71298885345459
0.05,fw_pair,-1,True,decay,0.99,2002,1001.74,0.01146875,2.8822991847991943,-2.745725631713867
0.05,fw_pair,-1,True,amjo,0.99,2002,1001.74,0.020203125,2.8462743759155273,-2.7854366302490234
0.05,fw_pair,-1,True,ls,0.99,2002,1001.74,0.146953125,2.866938352584839,-2.793159008026123
0.05,fw_pair,-1,False,lipschitz_mnist,0.95,1949,975.2372881355932,0.01131548536209553,2.261744499206543,-1.8644498586654663
0.05,fw_pair,-1,False,decay,0.93,1934,967.7313664596273,0.01272159679089027,2.0062313079833984,-1.9433590173721313
0.05,fw_pair,-1,False,amjo,0.93,1935,968.231246766684,0.021162053802379722,2.016638994216919,-1.9391862154006958
