epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries
0.1,fw_away,2,True,ls,0.99,2002
0.1,fw_away,2,False,lipschitz_mnist,0.96,2002
0.1,fw_away,2,False,decay,0.96,2002
0.1,fw_away,2,False,amjo,0.96,2002
0.1,fw_away,2,False,ls,0.96,2002
0.1,fw_pair,-1,True,lipschitz_mnist,0.94,2002
0.1,fw_pair,-1,True,decay,0.89,1959
0.1,fw_pair,-1,True,amjo,0.89,1956
0.1,fw_pair,-1,True,ls,0.89,1960
0.1,fw_pair,-1,False,lipschitz_mnist,0.78,1841
0.1,fw_pair,-1,False,decay,0.7,1721
0.1,fw_pair,-1,False,amjo,0.69,1715
0.1,fw_pair,-1,False,ls,0.7,1721
0.1,fw_pair,1,True,lipschitz_mnist,0.09,202
0.1,fw_pair,1,True,decay,0.09,202
0.1,fw_pair,1,True,amjo,0.09,202
0.1,fw_pair,1,True,ls,0.24,206
0.1,fw_pair,1,False,lipschitz_mnist,0.09,202
0.1,fw_pair,1,False,decay,0.09,202
0.1,fw_pair,1,False,amjo,0.09,202
0.1,fw_pair,1,False,ls,0.09,202
0.1,fw_pair,2,True,lipschitz_mnist,0.99,2002
0.1,fw_pair,2,True,decay,0.99,2002
0.1,fw_pair,2,True,amjo,0.99,2002
0.1,fw_pair,2,True,ls,0.99,2002
0.1,fw_pair,2,False,lipschitz_mnist,0.96,1984
0.1,fw_pair,2,False,decay,0.96,1984
0.1,fw_pair,2,False,amjo,0.96,1984
0.1,fw_pair,2,False,ls,0.96,1984
0.25,fw,-1,True,lipschitz_mnist,0.51,1458
0.25,fw,-1,True,decay,0.05,871
0.25,fw,-1,True,amjo,0.04,871
0.25,fw,-1,True,ls,0.04,851
0.25,fw,-1,False,lipschitz_mnist,0.05,558
0.25,fw,-1,False,decay,0.02,489
0.25,fw,-1,False,amjo,0.04,457
0.25,fw,-1,False,ls,0.01,445
0.25,fw,1,True,lipschitz_mnist,0.09,202
0.25,fw,1,True,decay,0.09,202
0.25,fw,1,True,amjo,0.09,202
0.25,fw,1,True,ls,0.22,203
0.25,fw,1,False,lipschitz_mnist,0.09,202
0.25,fw,1,False,decay,0.09,202
0.25,fw,1,False,amjo,0.09,202
0.25,fw,1,False,ls,0.09,202
0.25,fw,2,True,lipschitz_mnist,0.98,2002
0.25,fw,2,True,decay,0.95,2002
0.25,fw,2,True,amjo,0.96,2002
0.25,fw,2,True,ls,0.97,2002
0.25,fw,2,False,lipschitz_mnist,0.88,1928
0.25,fw,2,False,decay,0.85,1861
0.25,fw,2,False,amjo,0.87,1863
0.25,fw,2,False,ls,0.88,1895
0.25,fw_away,-1,True,lipschitz_mnist,0.52,2002
0.25,fw_away,-1,True,decay,0.04,2002
0.25,fw_away,-1,True,amjo,0.04,2002
0.25,fw_away,-1,True,ls,0.02,2002
0.25,fw_away,-1,False,lipschitz_mnist,0.04,2002
0.25,fw_away,-1,False,decay,0.01,2002
0.25,fw_away,-1,False,amjo,0.01,2002
0.25,fw_away,-1,False,ls,0.01,2002
0.25,fw_away,1,True,lipschitz_mnist,0.09,2002
0.25,fw_away,1,True,decay,0.09,2002
0.25,fw_away,1,True,amjo,0.09,2002
0.25,fw_away,1,True,ls,0.28,2002
0.25,fw_away,1,False,lipschitz_mnist,0.09,2002
0.25,fw_away,1,False,decay,0.09,2002
0.25,fw_away,1,False,amjo,0.09,2002
0.25,fw_away,1,False,ls,0.09,2002
0.25,fw_away,2,True,lipschitz_mnist,0.98,2002
0.25,fw_away,2,True,decay,0.95,2002
0.25,fw_away,2,True,amjo,0.96,2002
0.25,fw_away,2,True,ls,0.97,2002
0.25,fw_away,2,False,lipschitz_mnist,0.88,2002
0.25,fw_away,2,False,decay,0.85,2002
0.25,fw_away,2,False,amjo,0.87,2002
0.25,fw_away,2,False,ls,0.88,2002
0.25,fw_pair,-1,True,lipschitz_mnist,0.51,1458
0.25,fw_pair,-1,True,decay,0.07,1017
0.25,fw_pair,-1,True,amjo,0.06,1056
0.25,fw_pair,-1,True,ls,0.05,1069
0.25,fw_pair,-1,False,lipschitz_mnist,0.05,558
0.25,fw_pair,-1,False,decay,0.04,536
0.25,fw_pair,-1,False,amjo,0.04,523
0.25,fw_pair,-1,False,ls,0.04,480
0.25,fw_pair,1,True,lipschitz_mnist,0.09,202
0.25,fw_pair,1,True,decay,0.09,202
0.25,fw_pair,1,True,amjo,0.09,202
0.25,fw_pair,1,True,ls,0.22,203
0.25,fw_pair,1,False,lipschitz_mnist,0.09,202
0.25,fw_pair,1,False,decay,0.09,202
0.25,fw_pair,1,False,amjo,0.09,202
0.25,fw_pair,1,False,ls,0.09,202
0.25,fw_pair,2,True,lipschitz_mnist,0.98,2002
0.25,fw_pair,2,True,decay,0.95,2002
0.25,fw_pair,2,True,amjo,0.95,2002
0.25,fw_pair,2,True,ls,0.95,2002
0.25,fw_pair,2,False,lipschitz_mnist,0.88,1928
0.25,fw_pair,2,False,decay,0.85,1859
0.25,fw_pair,2,False,amjo,0.85,1856
0.25,fw_pair,2,False,ls,0.85,1855
